trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,trip_direction_name,trip_sort
3466080,28,4,INGERSOLL VIA SHERMAN,,0,11128,shp-28-62,1,1,Westbound,65460
3466020,28,3,INGERSOLL VIA SHERMAN,,0,11128,shp-28-62,1,1,Westbound,65460
1040020,28,3,INGERSOLL VIA SHERMAN,,0,11228,shp-28-62,1,1,Westbound,63780
1040080,28,4,INGERSOLL VIA SHERMAN,,0,11228,shp-28-62,1,1,Westbound,63780
4712020,28,3,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,52380
3958080,28,4,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,57720
1574020,28,3,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,50640
4970020,28,3,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,61380
2688020,28,3,SHERMAN,,1,11328,shp-28-10,1,1,Eastbound,43440
126080,28,4,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,55980
691020,28,3,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,39840
4552020,28,3,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,28860
1783020,28,3,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,34440
4767020,28,3,SHERMAN,,1,11328,shp-28-10,1,1,Eastbound,59520
3126020,28,3,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,36240
1988080,28,4,SHERMAN,,1,11328,shp-28-10,1,1,Eastbound,32460
989020,28,3,SHERMAN,,1,11328,shp-28-10,1,1,Eastbound,48840
2893020,28,3,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,47040
4767080,28,4,SHERMAN,,1,11328,shp-28-10,1,1,Eastbound,59520
3958020,28,3,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,57720
8080,28,4,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,45240
2893080,28,4,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,47040
3840020,28,3,SHERMAN,,1,11328,shp-28-10,1,1,Eastbound,54180
1988020,28,3,SHERMAN,,1,11328,shp-28-10,1,1,Eastbound,32460
4712080,28,4,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,52380
2688080,28,4,SHERMAN,,1,11328,shp-28-10,1,1,Eastbound,43440
1584020,28,3,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,41640
3020020,28,3,SHERMAN,,1,11328,shp-28-10,1,1,Eastbound,27120
4713020,28,3,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,63180
8020,28,3,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,45240
989080,28,4,SHERMAN,,1,11328,shp-28-10,1,1,Eastbound,48840
700080,28,4,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,25320
126020,28,3,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,55980
1574080,28,4,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,50640
4552080,28,4,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,28860
3020080,28,4,SHERMAN,,1,11328,shp-28-10,1,1,Eastbound,27120
4970080,28,4,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,61380
1783080,28,4,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,34440
2346020,28,3,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,23640
691080,28,4,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,39840
1230020,28,3,SHERMAN,,1,11328,shp-28-10,1,1,Eastbound,38040
2346080,28,4,SHERMAN,,1,11228,shp-28-10,1,1,Eastbound,23640
1230080,28,4,SHERMAN,,1,11328,shp-28-10,1,1,Eastbound,38040
4713080,28,4,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,63180
3126080,28,4,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,36240
1584080,28,4,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,41640
700020,28,3,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,25320
1472020,28,3,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,30660
3840080,28,4,SHERMAN,,1,11328,shp-28-10,1,1,Eastbound,54180
1472080,28,4,SHERMAN,,1,11128,shp-28-10,1,1,Eastbound,30660
2729080,28,4,WHITNEY VIA SHERMAN,,0,11228,shp-28-65,1,1,Westbound,31320
4357080,28,4,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,29520
1543080,28,4,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,22620
1946020,28,3,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,62160
2349080,28,4,WHITNEY VIA SHERMAN,,0,11228,shp-28-65,1,1,Westbound,42240
4853080,28,4,WHITNEY VIA SHERMAN,,0,11228,shp-28-65,1,1,Westbound,58500
4589080,28,4,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,51300
1782020,28,3,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,24360
863020,28,3,WHITNEY VIA SHERMAN,,0,11228,shp-28-65,1,1,Westbound,53100
4295020,28,3,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,54900
3171020,28,3,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,38580
4853020,28,3,WHITNEY VIA SHERMAN,,0,11228,shp-28-65,1,1,Westbound,58500
2373020,28,3,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,33180
863080,28,4,WHITNEY VIA SHERMAN,,0,11228,shp-28-65,1,1,Westbound,53100
3357080,28,4,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,27720
3119080,28,4,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,60300
2349020,28,3,WHITNEY VIA SHERMAN,,0,11228,shp-28-65,1,1,Westbound,42240
4295080,28,4,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,54900
2560020,28,3,WHITNEY VIA SHERMAN,,0,11228,shp-28-65,1,1,Westbound,36780
1543020,28,3,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,22620
675020,28,3,WHITNEY VIA SHERMAN,,0,11228,shp-28-65,1,1,Westbound,47640
1139080,28,4,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,49500
1514080,28,4,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,56700
143080,28,4,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,45840
1236020,28,3,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,34980
3128020,28,3,WHITNEY VIA SHERMAN,,0,11228,shp-28-65,1,1,Westbound,26040
1782080,28,4,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,24360
143020,28,3,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,45840
675080,28,4,WHITNEY VIA SHERMAN,,0,11228,shp-28-65,1,1,Westbound,47640
1236080,28,4,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,34980
2373080,28,4,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,33180
4371020,28,3,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,40440
2560080,28,4,WHITNEY VIA SHERMAN,,0,11228,shp-28-65,1,1,Westbound,36780
565020,28,3,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,44040
4589020,28,3,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,51300
1946080,28,4,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,62160
4371080,28,4,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,40440
3171080,28,4,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,38580
1139020,28,3,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,49500
2729020,28,3,WHITNEY VIA SHERMAN,,0,11228,shp-28-65,1,1,Westbound,31320
1514020,28,3,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,56700
3128080,28,4,WHITNEY VIA SHERMAN,,0,11228,shp-28-65,1,1,Westbound,26040
3357020,28,3,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,27720
565080,28,4,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,44040
3119020,28,3,WHITNEY VIA SHERMAN,,0,11128,shp-28-65,1,1,Westbound,60300
4357020,28,3,WHITNEY VIA SHERMAN,,0,11328,shp-28-65,1,1,Westbound,29520
4380080,38,4,JENIFER,,1,11438,shp-38-13,1,1,Eastbound,51480
3157080,38,4,JENIFER,,1,11238,shp-38-13,1,1,Eastbound,47940
448020,38,3,JENIFER,,1,11238,shp-38-13,1,1,Eastbound,33420
3816080,38,4,JENIFER,,1,11138,shp-38-13,1,1,Eastbound,55080
3628020,38,3,JENIFER,,1,11138,shp-38-13,1,1,Eastbound,26220
399020,38,3,JENIFER,,1,11338,shp-38-13,1,1,Eastbound,29760
381080,38,4,JENIFER,,1,11338,shp-38-13,1,1,Eastbound,58620
3628080,38,4,JENIFER,,1,11138,shp-38-13,1,1,Eastbound,26220
3790080,38,4,JENIFER,,1,11338,shp-38-13,1,1,Eastbound,44340
399080,38,4,JENIFER,,1,11338,shp-38-13,1,1,Eastbound,29760
3613080,38,4,JENIFER,,1,11438,shp-38-13,1,1,Eastbound,37140
3157020,38,3,JENIFER,,1,11238,shp-38-13,1,1,Eastbound,47940
2451020,38,3,JENIFER,,1,11138,shp-38-13,1,1,Eastbound,40740
2451080,38,4,JENIFER,,1,11138,shp-38-13,1,1,Eastbound,40740
448080,38,4,JENIFER,,1,11238,shp-38-13,1,1,Eastbound,33420
3554020,38,3,JENIFER,,1,11238,shp-38-13,1,1,Eastbound,62280
3613020,38,3,JENIFER,,1,11438,shp-38-13,1,1,Eastbound,37140
3554080,38,4,JENIFER,,1,11238,shp-38-13,1,1,Eastbound,62280
4380020,38,3,JENIFER,,1,11438,shp-38-13,1,1,Eastbound,51480
3816020,38,3,JENIFER,,1,11138,shp-38-13,1,1,Eastbound,55080
381020,38,3,JENIFER,,1,11338,shp-38-13,1,1,Eastbound,58620
3790020,38,3,JENIFER,,1,11338,shp-38-13,1,1,Eastbound,44340
3924080,38,4,MONONA/DUTCH MILL,,1,11338,shp-38-12,1,1,Eastbound,49740
2138020,38,3,MONONA/DUTCH MILL,,1,11438,shp-38-12,1,1,Eastbound,56820
4778080,38,4,MONONA/DUTCH MILL,,1,11238,shp-38-12,1,1,Eastbound,24540
2138080,38,4,MONONA/DUTCH MILL,,1,11438,shp-38-12,1,1,Eastbound,56820
4678080,38,4,MONONA/DUTCH MILL,,1,11438,shp-38-12,1,1,Eastbound,27960
2648020,38,3,MONONA/DUTCH MILL,,1,11138,shp-38-12,1,1,Eastbound,46140
60080,38,4,MONONA/DUTCH MILL,,1,11438,shp-38-12,1,1,Eastbound,42540
4801020,38,3,MONONA/DUTCH MILL,,1,11138,shp-38-12,1,1,Eastbound,31560
4778020,38,3,MONONA/DUTCH MILL,,1,11238,shp-38-12,1,1,Eastbound,24540
3535080,38,4,MONONA/DUTCH MILL,,1,11338,shp-38-12,1,1,Eastbound,64140
4982020,38,3,MONONA/DUTCH MILL,,1,11238,shp-38-12,1,1,Eastbound,38940
60020,38,3,MONONA/DUTCH MILL,,1,11438,shp-38-12,1,1,Eastbound,42540
4678020,38,3,MONONA/DUTCH MILL,,1,11438,shp-38-12,1,1,Eastbound,27960
4718020,38,3,MONONA/DUTCH MILL,,1,11238,shp-38-12,1,1,Eastbound,53280
4801080,38,4,MONONA/DUTCH MILL,,1,11138,shp-38-12,1,1,Eastbound,31560
